CHR	CHR	CHR	CHR	CHR	CHR
POS	POS	POS	POS	POS	POS
Fam	DHRO22	0	0	2	0
Fam	GMR2	0	0	1	0
Fam	PseudoF1_D1	GMR2	DHRO22	1	0
Fam	PseudoF1	GMR2	DHRO22	2	0
Fam	DHRO22_D1	PseudoF1_D1	PseudoF1	0	0
Fam	GMR2_D1	PseudoF1_D1	PseudoF1	0	0
Fam	F2.01	PseudoF1_D1	PseudoF1	0	0
Fam	F2.02	PseudoF1_D1	PseudoF1	0	0
Fam	F2.03	PseudoF1_D1	PseudoF1	0	0
Fam	F2.04	PseudoF1_D1	PseudoF1	0	0
Fam	F2.05	PseudoF1_D1	PseudoF1	0	0
Fam	F2.06	PseudoF1_D1	PseudoF1	0	0
Fam	F2.07	PseudoF1_D1	PseudoF1	0	0
Fam	F2.08	PseudoF1_D1	PseudoF1	0	0
Fam	F2.09	PseudoF1_D1	PseudoF1	0	0
Fam	F2.10	PseudoF1_D1	PseudoF1	0	0
Fam	F2.11	PseudoF1_D1	PseudoF1	0	0
Fam	F2.12	PseudoF1_D1	PseudoF1	0	0
Fam	F2.13	PseudoF1_D1	PseudoF1	0	0
Fam	F2.14	PseudoF1_D1	PseudoF1	0	0
Fam	F2.15	PseudoF1_D1	PseudoF1	0	0
Fam	F2.16	PseudoF1_D1	PseudoF1	0	0
Fam	F2.17	PseudoF1_D1	PseudoF1	0	0
Fam	F2.19	PseudoF1_D1	PseudoF1	0	0
Fam	F2.20	PseudoF1_D1	PseudoF1	0	0
Fam	F2.21	PseudoF1_D1	PseudoF1	0	0
Fam	F2.22	PseudoF1_D1	PseudoF1	0	0
Fam	F2.23	PseudoF1_D1	PseudoF1	0	0
Fam	F2.24	PseudoF1_D1	PseudoF1	0	0
Fam	F2.25	PseudoF1_D1	PseudoF1	0	0
Fam	F2.26	PseudoF1_D1	PseudoF1	0	0
Fam	F2.27	PseudoF1_D1	PseudoF1	0	0
Fam	F2.28	PseudoF1_D1	PseudoF1	0	0
Fam	F2.29	PseudoF1_D1	PseudoF1	0	0
Fam	F2.30	PseudoF1_D1	PseudoF1	0	0
Fam	F2.31	PseudoF1_D1	PseudoF1	0	0
Fam	F2.32	PseudoF1_D1	PseudoF1	0	0
Fam	F2.33	PseudoF1_D1	PseudoF1	0	0
Fam	F2.34	PseudoF1_D1	PseudoF1	0	0
Fam	F2.35	PseudoF1_D1	PseudoF1	0	0
Fam	F2.36	PseudoF1_D1	PseudoF1	0	0
Fam	F2.37	PseudoF1_D1	PseudoF1	0	0
Fam	F2.38	PseudoF1_D1	PseudoF1	0	0
Fam	F2.39	PseudoF1_D1	PseudoF1	0	0
Fam	F2.40	PseudoF1_D1	PseudoF1	0	0
Fam	F2.41	PseudoF1_D1	PseudoF1	0	0
Fam	F2.42	PseudoF1_D1	PseudoF1	0	0
Fam	F2.43	PseudoF1_D1	PseudoF1	0	0
Fam	F2.44	PseudoF1_D1	PseudoF1	0	0
Fam	F2.45	PseudoF1_D1	PseudoF1	0	0
Fam	F2.46	PseudoF1_D1	PseudoF1	0	0
Fam	F2.47	PseudoF1_D1	PseudoF1	0	0
Fam	F2.48	PseudoF1_D1	PseudoF1	0	0
Fam	F2.49	PseudoF1_D1	PseudoF1	0	0
Fam	F2.50	PseudoF1_D1	PseudoF1	0	0
Fam	F2.51	PseudoF1_D1	PseudoF1	0	0
Fam	F2.52	PseudoF1_D1	PseudoF1	0	0
Fam	F2.53	PseudoF1_D1	PseudoF1	0	0
Fam	F2.54	PseudoF1_D1	PseudoF1	0	0
Fam	F2.55	PseudoF1_D1	PseudoF1	0	0
Fam	F2.56	PseudoF1_D1	PseudoF1	0	0
Fam	F2.57	PseudoF1_D1	PseudoF1	0	0
Fam	F2.58	PseudoF1_D1	PseudoF1	0	0
Fam	F2.59	PseudoF1_D1	PseudoF1	0	0
Fam	F2.60	PseudoF1_D1	PseudoF1	0	0
Fam	F2.61	PseudoF1_D1	PseudoF1	0	0
Fam	F2.62	PseudoF1_D1	PseudoF1	0	0
Fam	F2.63	PseudoF1_D1	PseudoF1	0	0
Fam	F2.64	PseudoF1_D1	PseudoF1	0	0
Fam	F2.65	PseudoF1_D1	PseudoF1	0	0
Fam	F2.66	PseudoF1_D1	PseudoF1	0	0
Fam	F2.67	PseudoF1_D1	PseudoF1	0	0
Fam	F2.69	PseudoF1_D1	PseudoF1	0	0
Fam	F2.70	PseudoF1_D1	PseudoF1	0	0
Fam	F2.71	PseudoF1_D1	PseudoF1	0	0
Fam	F2.72	PseudoF1_D1	PseudoF1	0	0
Fam	F2.73	PseudoF1_D1	PseudoF1	0	0
Fam	F2.74	PseudoF1_D1	PseudoF1	0	0
Fam	F2.75	PseudoF1_D1	PseudoF1	0	0
Fam	F2.76	PseudoF1_D1	PseudoF1	0	0
Fam	F2.77	PseudoF1_D1	PseudoF1	0	0
Fam	F2.78	PseudoF1_D1	PseudoF1	0	0
Fam	F2.79	PseudoF1_D1	PseudoF1	0	0
Fam	F2.80	PseudoF1_D1	PseudoF1	0	0
Fam	F2.82	PseudoF1_D1	PseudoF1	0	0
Fam	F2.83	PseudoF1_D1	PseudoF1	0	0
Fam	F2.84	PseudoF1_D1	PseudoF1	0	0
Fam	F2.85	PseudoF1_D1	PseudoF1	0	0
Fam	F2.86	PseudoF1_D1	PseudoF1	0	0
Fam	F2.87	PseudoF1_D1	PseudoF1	0	0
