INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
PseudoF1	13376	0	0	0
DHRO22	13376	0	0	0
F2.01	13376	0	356	0.0266148
F2.02	13376	0	289	0.0216059
F2.03	13376	0	226	0.0168959
F2.04	13376	0	523	0.0390999
F2.05	13376	0	867	0.0648176
F2.06	13376	0	256	0.0191388
F2.07	13376	0	174	0.0130084
F2.08	13376	0	228	0.0170455
F2.09	13376	0	413	0.0308762
F2.10	13376	0	45	0.00336423
F2.11	13376	0	183	0.0136812
F2.12	13376	0	567	0.0423894
F2.13	13376	0	23	0.0017195
F2.14	13376	0	49	0.00366328
F2.15	13376	0	2481	0.185481
F2.16	13376	0	258	0.0192883
F2.17	13376	0	356	0.0266148
F2.18	13376	0	12129	0.906773
F2.19	13376	0	189	0.0141298
F2.20	13376	0	65	0.00485945
F2.21	13376	0	682	0.0509868
F2.22	13376	0	438	0.0327452
F2.23	13376	0	270	0.0201854
F2.24	13376	0	244	0.0182416
F2.25	13376	0	147	0.0109898
F2.26	13376	0	193	0.0144288
F2.27	13376	0	388	0.0290072
F2.28	13376	0	168	0.0125598
F2.29	13376	0	250	0.0186902
F2.30	13376	0	510	0.038128
F2.31	13376	0	194	0.0145036
F2.32	13376	0	171	0.0127841
F2.33	13376	0	302	0.0225778
F2.34	13376	0	197	0.0147279
F2.35	13376	0	330	0.0246711
F2.36	13376	0	162	0.0121112
F2.37	13376	0	209	0.015625
F2.38	13376	0	259	0.019363
F2.39	13376	0	1946	0.145484
F2.40	13376	0	186	0.0139055
F2.41	13376	0	220	0.0164474
F2.42	13376	0	308	0.0230263
F2.43	13376	0	253	0.0189145
F2.44	13376	0	404	0.0302033
F2.45	13376	0	285	0.0213068
F2.46	13376	0	323	0.0241477
F2.47	13376	0	352	0.0263158
F2.48	13376	0	441	0.0329695
F2.49	13376	0	251	0.018765
F2.50	13376	0	267	0.0199611
F2.51	13376	0	187	0.0139803
F2.52	13376	0	150	0.0112141
F2.53	13376	0	1944	0.145335
F2.54	13376	0	172	0.0128589
F2.55	13376	0	317	0.0236992
F2.56	13376	0	259	0.019363
F2.57	13376	0	248	0.0185407
F2.58	13376	0	3398	0.254037
F2.59	13376	0	161	0.0120365
F2.60	13376	0	183	0.0136812
F2.61	13376	0	335	0.0250449
F2.62	13376	0	210	0.0156998
F2.63	13376	0	175	0.0130831
F2.64	13376	0	377	0.0281848
F2.65	13376	0	138	0.010317
F2.66	13376	0	174	0.0130084
F2.67	13376	0	174	0.0130084
F2.68	13376	0	12862	0.961573
F2.69	13376	0	172	0.0128589
F2.70	13376	0	310	0.0231758
F2.71	13376	0	215	0.0160736
F2.72	13376	0	191	0.0142793
F2.73	13376	0	329	0.0245963
F2.74	13376	0	264	0.0197368
F2.75	13376	0	193	0.0144288
F2.76	13376	0	234	0.017494
F2.77	13376	0	233	0.0174193
F2.78	13376	0	165	0.0123355
F2.79	13376	0	178	0.0133074
F2.80	13376	0	198	0.0148026
F2.81	13376	0	13155	0.983478
F2.82	13376	0	103	0.00770036
F2.83	13376	0	1392	0.104067
F2.84	13376	0	268	0.0200359
F2.85	13376	0	759	0.0567434
F2.86	13376	0	239	0.0178678
F2.87	13376	0	385	0.0287829
F2.88	13376	0	5900	0.441089
GMR2	13376	0	0	0
DHRO22_D1	13376	0	0	0
GMR2_D1	13376	0	0	0
PseudoF1_D1	13376	0	0	0
