F2name	no_times
F2.01	1.66666666666667
F2.02	1.58333333333333
F2.03	1.3
F2.04	1.6
F2.05	1.63636363636364
F2.06	1.84615384615385
F2.07	1.66666666666667
F2.08	1.69230769230769
F2.09	1.45454545454545
F2.10	1.58333333333333
F2.11	2.07692307692308
F2.12	1.84615384615385
F2.13	1.4
F2.14	1.58333333333333
F2.15	1.46153846153846
F2.16	2
F2.17	2
F2.19	1.69230769230769
F2.20	1.72727272727273
F2.21	1.53846153846154
F2.22	2
F2.23	1.83333333333333
F2.24	1.75
F2.25	1.83333333333333
F2.26	1.33333333333333
F2.27	1.61538461538462
F2.28	1.72727272727273
F2.29	1.46153846153846
F2.30	1.9
F2.31	1.72727272727273
F2.32	1.75
F2.33	2.07692307692308
F2.34	1.92857142857143
F2.35	2.08333333333333
F2.36	2.18181818181818
F2.37	2.08333333333333
F2.38	1.6
F2.39	1.35714285714286
F2.40	1.64285714285714
F2.41	1.75
F2.42	1.84615384615385
F2.43	1.36363636363636
F2.44	1.53846153846154
F2.45	1.90909090909091
F2.46	1.54545454545455
F2.47	1.84615384615385
F2.48	1.66666666666667
F2.49	1.25
F2.50	1.69230769230769
F2.51	1.5
F2.52	1.69230769230769
F2.53	1.38461538461538
F2.54	1.58333333333333
F2.55	1.76923076923077
F2.56	2
F2.57	2.21428571428571
F2.58	1.90909090909091
F2.59	1.53846153846154
F2.60	1.53846153846154
F2.61	2.23076923076923
F2.62	2.25
F2.63	1.58333333333333
F2.64	2.07142857142857
F2.65	2.09090909090909
F2.66	1.69230769230769
F2.67	1.76923076923077
F2.69	1.61538461538462
F2.70	1.5
F2.71	1.75
F2.72	1.54545454545455
F2.73	1.53846153846154
F2.74	2.09090909090909
F2.75	1.91666666666667
F2.76	1.5
F2.77	2
F2.78	1.54545454545455
F2.79	1.76923076923077
F2.80	1.5
F2.82	1.54545454545455
F2.83	1.6
F2.84	1.58333333333333
F2.85	1.30769230769231
F2.86	1.92857142857143
F2.87	1.53846153846154
