lg	contig	position	cM
1	Chr_01	66045	0
1	Chr_01	61874	0
1	Chr_01	161725	0
1	Chr_01	186932	0
1	Chr_01	121971	0
1	Chr_01	84921	0
1	Chr_01	110465	0
1	Chr_01	65514	0
1	Chr_01	120159	0
1	Chr_01	145377	0
1	Chr_01	55870	0
1	Chr_01	205697	0
1	Chr_01	187985	0
1	Chr_01	94748	0
1	Chr_01	157270	0
1	Chr_01	220743	0
1	Chr_01	136706	0
1	Chr_01	160188	0
1	Chr_01	157491	0
1	Chr_01	188836	0
1	Chr_01	156688	0
1	Chr_01	261183	1.177
1	Chr_01	241479	1.177
1	Chr_01	262963	1.177
1	Chr_01	284612	1.177
1	Chr_01	276671	1.177
1	Chr_01	321268	1.177
1	Chr_01	321076	1.177
1	Chr_01	328437	1.177
1	Chr_01	295733	1.177
1	Chr_01	350550	1.177
1	Chr_01	295476	1.177
1	Chr_01	326450	1.177
1	Chr_01	359718	1.177
1	Chr_01	338793	1.177
1	Chr_01	339160	1.177
1	Chr_01	420485	2.353
1	Chr_01	411627	2.353
1	Chr_01	478373	2.353
1	Chr_01	384668	2.353
1	Chr_01	452658	2.353
1	Chr_01	457666	2.353
1	Chr_01	430243	2.353
1	Chr_01	484109	2.353
1	Chr_01	411426	2.353
1	Chr_01	379301	2.353
1	Chr_01	411836	2.353
1	Chr_01	441378	2.353
1	Chr_01	385544	2.353
1	Chr_01	484312	2.353
1	Chr_01	380626	2.353
1	Chr_01	385762	2.353
1	Chr_01	414411	2.353
1	Chr_01	384388	2.353
1	Chr_01	453155	2.353
1	Chr_01	515350	2.353
1	Chr_01	515192	2.353
1	Chr_01	557030	2.353
1	Chr_01	611357	2.353
1	Chr_01	511062	2.353
1	Chr_01	634038	2.353
1	Chr_01	635359	2.353
1	Chr_01	559223	2.353
1	Chr_01	533492	2.353
1	Chr_01	511659	2.353
1	Chr_01	533713	2.353
1	Chr_01	559452	2.353
1	Chr_01	515685	2.353
1	Chr_01	702764	2.353
1	Chr_01	685564	2.353
1	Chr_01	686261	2.353
1	Chr_01	703121	2.353
1	Chr_01	661019	2.353
1	Chr_01	673594	2.353
1	Chr_01	660293	2.353
1	Chr_01	695818	2.353
1	Chr_01	685936	2.353
1	Chr_01	639925	2.353
1	Chr_01	696470	2.353
1	Chr_01	696847	2.353
1	Chr_01	660499	2.353
1	Chr_01	664898	2.353
1	Chr_01	710415	3.53
1	Chr_01	710670	3.53
1	Chr_01	731927	3.53
1	Chr_01	1016075	3.53
1	Chr_01	1124068	3.53
1	Chr_01	1015692	3.53
1	Chr_01	870183	3.53
1	Chr_01	1203619	3.53
1	Chr_01	762499	3.53
1	Chr_01	1193658	3.53
1	Chr_01	1112727	3.53
1	Chr_01	916281	3.53
1	Chr_01	759038	3.53
1	Chr_01	812674	3.53
1	Chr_01	870334	3.53
1	Chr_01	820715	3.53
1	Chr_01	823347	3.53
1	Chr_01	1039923	3.53
1	Chr_01	853227	3.53
1	Chr_01	839127	3.53
1	Chr_01	869575	3.53
1	Chr_01	884825	3.53
1	Chr_01	1081217	3.53
1	Chr_01	887035	3.53
1	Chr_01	870534	3.53
1	Chr_01	853437	3.53
1	Chr_01	763142	3.53
1	Chr_01	985961	3.53
1	Chr_01	910565	3.53
1	Chr_01	976319	3.53
1	Chr_01	1092137	3.53
1	Chr_01	756025	3.53
1	Chr_01	978494	3.53
1	Chr_01	917716	3.53
1	Chr_01	869353	3.53
1	Chr_01	856935	3.53
1	Chr_01	820322	3.53
1	Chr_01	978255	3.53
1	Chr_01	837337	3.53
1	Chr_01	1060834	3.53
1	Chr_01	796333	3.53
1	Chr_01	968709	3.53
1	Chr_01	1039304	3.53
1	Chr_01	1039770	3.53
1	Chr_01	918208	3.53
1	Chr_01	842274	3.53
1	Chr_01	1065269	3.53
1	Chr_01	985695	3.53
1	Chr_01	1016248	3.53
1	Chr_01	919471	3.53
1	Chr_01	758609	3.53
1	Chr_01	1009516	3.53
1	Chr_01	916040	3.53
1	Chr_01	850272	3.53
1	Chr_01	848533	3.53
1	Chr_01	826728	3.53
1	Chr_01	871263	3.53
1	Chr_01	779538	3.53
1	Chr_01	925531	3.53
1	Chr_01	850473	3.53
1	Chr_01	1064560	3.53
1	Chr_01	763849	3.53
1	Chr_01	1081431	3.53
1	Chr_01	1164942	3.53
1	Chr_01	745152	3.53
1	Chr_01	848758	3.53
1	Chr_01	745314	3.53
1	Chr_01	1095526	3.53
1	Chr_01	831115	3.53
1	Chr_01	1223295	4.706
1	Chr_01	1219471	4.706
1	Chr_01	1223450	4.706
1	Chr_01	1240540	4.706
1	Chr_01	1091889	4.706
1	Chr_01	1253068	4.706
1	Chr_01	1322629	4.706
1	Chr_01	1283823	4.706
1	Chr_01	1327267	4.706
1	Chr_01	1288434	4.706
1	Chr_01	1336531	4.706
1	Chr_01	1242376	4.706
1	Chr_01	1292098	4.706
1	Chr_01	1250191	4.706
1	Chr_01	1268348	4.706
1	Chr_01	1284193	4.706
1	Chr_01	1321540	4.706
1	Chr_01	1381440	4.706
1	Chr_01	1249719	4.706
1	Chr_01	1383230	4.706
1	Chr_01	1237888	4.706
1	Chr_01	1335757	4.706
1	Chr_01	1238472	4.706
1	Chr_01	1335931	4.706
1	Chr_01	1250709	4.706
1	Chr_01	1355484	4.706
1	Chr_01	1238050	4.706
1	Chr_01	1347873	4.706
1	Chr_01	1331007	4.706
1	Chr_01	1518775	4.706
1	Chr_01	1446169	4.706
1	Chr_01	1516161	4.706
1	Chr_01	1425781	4.706
1	Chr_01	1339560	4.706
1	Chr_01	1520356	4.706
1	Chr_01	1529426	4.706
1	Chr_01	1516010	4.706
1	Chr_01	1421170	4.706
1	Chr_01	1539325	4.706
1	Chr_01	1414786	4.706
1	Chr_01	1524141	4.706
1	Chr_01	1420627	4.706
1	Chr_01	1436245	4.706
1	Chr_01	1539479	4.706
1	Chr_01	1353178	4.706
1	Chr_01	1414504	4.706
1	Chr_01	1395602	4.706
1	Chr_01	1581621	4.706
1	Chr_01	1676427	4.706
1	Chr_01	1674052	5.883
1	Chr_01	1588442	5.883
1	Chr_01	1588103	5.883
1	Chr_01	1588723	5.883
1	Chr_01	1607404	5.883
1	Chr_01	1617295	7.059
1	Chr_01	1612499	7.059
1	Chr_01	1673860	7.059
1	Chr_01	1614426	7.059
1	Chr_01	1607047	7.059
1	Chr_01	1696393	7.059
1	Chr_01	1677704	7.059
1	Chr_01	1678271	7.059
1	Chr_01	1613835	7.059
1	Chr_01	1721713	7.059
1	Chr_01	2033547	7.059
1	Chr_01	2111082	7.059
1	Chr_01	1988185	7.059
1	Chr_01	1833995	7.059
1	Chr_01	1998949	7.059
1	Chr_01	1707213	7.059
1	Chr_01	1999595	7.059
1	Chr_01	2261224	7.059
1	Chr_01	1995145	7.059
1	Chr_01	2109412	7.059
1	Chr_01	2242740	7.059
1	Chr_01	2087737	7.059
1	Chr_01	2242586	7.059
1	Chr_01	2228692	7.059
1	Chr_01	2260421	7.059
1	Chr_01	2242310	7.059
1	Chr_01	1835811	7.059
1	Chr_01	2109164	7.059
1	Chr_01	1702023	7.059
1	Chr_01	1986375	7.059
1	Chr_01	2032664	7.059
1	Chr_01	2055870	7.059
1	Chr_01	2224794	7.059
1	Chr_01	2228228	7.059
1	Chr_01	1821199	7.059
1	Chr_01	2242093	7.059
1	Chr_01	1834841	7.059
1	Chr_01	1820855	7.059
1	Chr_01	1721276	7.059
1	Chr_01	2082978	7.059
1	Chr_01	2260910	7.059
1	Chr_01	2224632	7.059
1	Chr_01	2055440	7.059
1	Chr_01	1851016	8.236
1	Chr_01	2260707	8.236
1	Chr_01	2335408	9.412
1	Chr_01	2342663	9.412
1	Chr_01	2336000	9.412
1	Chr_01	2335228	9.412
1	Chr_01	2319202	9.412
1	Chr_01	2335563	9.412
1	Chr_01	2319774	9.412
1	Chr_01	2304863	9.412
1	Chr_01	2374821	9.412
1	Chr_01	2405985	9.412
1	Chr_01	2418377	9.412
1	Chr_01	2399428	9.412
1	Chr_01	2495067	9.412
1	Chr_01	2373276	9.412
1	Chr_01	2438600	9.412
1	Chr_01	2405356	9.412
1	Chr_01	2481811	9.412
1	Chr_01	2588100	9.412
1	Chr_01	2809058	9.412
1	Chr_01	2454673	9.412
1	Chr_01	2828545	9.412
1	Chr_01	2567884	9.412
1	Chr_01	2664042	9.412
1	Chr_01	2588544	9.412
1	Chr_01	2535523	9.412
1	Chr_01	2776160	9.412
1	Chr_01	2781394	9.412
1	Chr_01	2554128	9.412
1	Chr_01	2589915	9.412
1	Chr_01	2589759	9.412
1	Chr_01	2827400	9.412
1	Chr_01	2860381	9.412
1	Chr_01	2775807	9.412
1	Chr_01	2805818	9.412
1	Chr_01	2523571	9.412
1	Chr_01	2657672	9.412
1	Chr_01	2580843	9.412
1	Chr_01	2878359	9.412
1	Chr_01	2705826	9.412
1	Chr_01	2640305	9.412
1	Chr_01	2706532	9.412
1	Chr_01	2727711	9.412
1	Chr_01	2523949	9.412
1	Chr_01	2535201	9.412
1	Chr_01	2590090	9.412
1	Chr_01	2608301	9.412
1	Chr_01	2911717	9.412
1	Chr_01	3171294	9.412
1	Chr_01	2911446	9.412
1	Chr_01	2956296	10.589
1	Chr_01	3036275	10.589
1	Chr_01	3174360	10.589
1	Chr_01	3174207	10.589
1	Chr_01	3075865	10.589
1	Chr_01	3171455	10.589
1	Chr_01	3172653	10.589
1	Chr_01	2978963	10.589
1	Chr_01	3034546	10.589
1	Chr_01	3153792	10.589
1	Chr_01	3128052	10.589
1	Chr_01	3003330	10.589
1	Chr_01	3000586	10.589
1	Chr_01	3054864	10.589
1	Chr_01	3019413	10.589
1	Chr_01	3007148	10.589
1	Chr_01	3000414	10.589
1	Chr_01	3025092	10.589
1	Chr_01	3174514	10.589
1	Chr_01	2998848	10.589
1	Chr_01	2944463	10.589
1	Chr_01	3003825	10.589
1	Chr_01	3007430	10.589
1	Chr_01	2999016	10.589
1	Chr_01	3147238	10.589
1	Chr_01	2923136	10.589
1	Chr_01	3002318	10.589
1	Chr_01	3052512	10.589
1	Chr_01	2929562	10.589
